NL_NAME_2 ,SC
全国,0
和歌山市,4.187864
海南市,7.916518
橋本市,7.03792
有田市,16.817359
御坊市,12.853275
田辺市,9.656477
新宮市,9.609202
紀の川市,10.547076
岩出市,4.823192
紀美野町,11.227785
かつらぎ町,13.751813
九度山町,11.704315
高野町,14.726634
湯浅町,13.307115
広川町,16.793159
有田川町,15.066362
美浜町,14.424734
日高町,20.021919
由良町,23.439276
印南町,19.286863
みなべ町,24.151773
日高川町,16.438675
白浜町,11.785406
上富田町,8.913758
すさみ町,31.325441
那智勝浦町,16.772466
太地町,35.076544
古座川町,16.337138
北山村,20.813826
串本町,28.727555
